1,STAR FERRY
1,CHUK YUEN ESTATE
1A,STAR FERRY
1A,SAU MAU PING (CENTRAL)
2,CHEUNG SHA WAN (SO UK ESTATE)
2,STAR FERRY
2A,MEI FOO
2A,LOK WAH
2B,CHEUNG SHA WAN
2B,CHUK YUEN ESTATE
2D,TUNG TAU ESTATE
2D,CHAK ON ESTATE
2E,PAK TIN (NORTH)
2E,KOWLOON CITY FERRY
2F,CHEUNG SHA WAN
2F,CHEUNG SHA WAN
2F,TSZ WAN SHAN (NORTH)
2X,MEI FOO
2X,CHOI FOOK
3B,HUNG HOM (HUNG LUEN ROAD)
3B,TSZ WAN SHAN (CENTRAL)
3B,TSZ WAN SHAN (CENTRAL)
3C,CHINA FERRY TERMINAL
3C,TSZ WAN SHAN (NORTH)
3D,KWUN TONG (YUE MAN SQUARE)
3D,KWUN TONG (YUE MAN SQUARE)
3D,KWUN TONG (YUE MAN SQUARE)
3D,TSZ WAN SHAN (CENTRAL)
3D,TSZ WAN SHAN (SOUTH)
3M,CHOI WAN
3M,TSZ WAN SHAN (NORTH)
3M,TSZ WAN SHAN (SOUTH)
3S,DIAMOND HILL CEMETERY (CIRCULAR)
3X,CHINA FERRY TERMINAL
3X,CHINA FERRY TERMINAL
3X,TSZ WAN SHAN (NORTH)
5,STAR FERRY
5,FU SHAN ESTATE
5A,STAR FERRY
5A,KAI TAK (KAI CHING ESTATE)
5C,STAR FERRY
5C,STAR FERRY
5C,TSZ WAN SHAN (CENTRAL)
5C,TSZ WAN SHAN (CENTRAL)
5D,HUNG HOM (CIRCULAR)
5M,KOWLOON BAY STATION (CIRCULAR)
5P,STAR FERRY
5P,TSZ WAN SHAN (CENTRAL)
5R,KAI TAK (SHING FUNG ROAD) (CIRCULAR)
5R,KWUN TONG (apm)
5R,KAI TAK (SHING FUNG ROAD)
5X,STAR FERRY
5X,TSZ WAN SHAN (CENTRAL)
6,LAI CHI KOK
6,STAR FERRY
6C,MEI FOO
6C,KOWLOON CITY FERRY
6D,MEI FOO
6D,NGAU TAU KOK
6F,CHEUNG SHA WAN (LAI KOK ESTATE)
6F,KOWLOON CITY FERRY
6F,KOWLOON CITY FERRY
6P,LEI YUE MUN ESTATE
6P,CHEUNG SHA WAN (SO UK ESTATE)
6R,NGONG SHUEN CHAU BARRACKS (CIRCULAR)
6X,KOWLOON CITY FERRY
7,LOK FU
7,STAR FERRY
7B,LOK FU
7B,HUNG HOM (HUNG LUEN ROAD)
7M,CHUK YUEN ESTATE (CIRCULAR)
8,KOWLOON STATION
8,STAR FERRY
8A,TSIM SHA TSUI (CIRCULAR)
8P,TSIM SHA TSUI (CIRCULAR)
8P,TSIM SHA TSUI
9,TSIM SHA TSUI EAST (MODY ROAD)
9,CHOI FOOK
10,TAI KOK TSUI (CIRCULAR)
11,KOWLOON STATION
11,DIAMOND HILL STATION
11B,KOWLOON CITY FERRY
11B,KWUN TONG (TSUI PING ROAD)
11C,SAU MAU PING (UPPER)
11C,CHUK YUEN ESTATE
11D,KWUN TONG FERRY
11D,LOK FU
11K,HUNG HOM STATION
11K,CHUK YUEN ESTATE
11X,HUNG HOM STATION
11X,ON TAI (NORTH)
12,TSIM SHA TSUI EAST (MODY ROAD)
12,HOI LAI ESTATE
12A,CHEUNG SHA WAN (SHAM MONG ROAD)
12A,WHAMPOA GARDEN
12P,Hung Hom Station
13D,ISLAND HARBOURVIEW
13D,ISLAND HARBOURVIEW
13D,PO TAT
13M,PO TAT (CIRCULAR)
13M,KWUN TONG STATION
13P,CHEUNG SHA WAN (LAI KOK ESTATE)
13X,TSIM SHA TSUI EAST
13X,TSIM SHA TSUI EAST
13X,TSIM SHA TSUI EAST
13X,TSIM SHA TSUI EAST
13X,PO TAT
13X,PO TAT
14,CHINA FERRY TERMINAL
14,LEI YUE MUN ESTATE
14B,LAM TIN (KWONG TIN ESTATE)
14B,LAM TIN (KWONG TIN ESTATE)
14B,NGAU TAU KOK
14D,CHOI HUNG
14D,CHOI HUNG
14D,YAU TONG
14H,SHUN LEE (CIRCULAR)
14S,TSEUNG KWAN O CHINESE PERMANENT CEMETERY(CIRCULAR)
14X,TSIM SHA TSUI (CIRCULAR)
